嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
お世辞	おせじ	oseji	flattery, compliment	лесть; комплимент
襲う	おそう	osou	to attack	атаковать
遅くとも	おそくとも	osokutomo	at the latest	не позднее
恐らく	おそらく	osoraku	perhaps	возможно
恐れ	おそれ	osore	fear, horror	страх; ужас
恐れ入る	おそれいる	osoreiru	to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b	чувствовать себя неловко,быть сконфуженным; быть глубоко тронутым
お大事に	おだいじに	odaijini	Take care of yourself	берегите себя
煽てる	おだてる	odateru	to stir up, to instigate, to flatter	спровоцировать; льстить
落ち込む	おちこむ	ochikomu	to fall into, to feel down (sad)	падать; вваливаться; западать; быть подавленным
落ち着き	おちつき	ochitsuki	calm, composure	спокойствие; хладнокровие
落ち葉	おちば	ochiba	fallen leaves, leaf litter, defoliation, shedding leaves	опавшие листья; листопад
落ちる	おちる	ochiru	to fail (e.g. exam), to fall down, to drop	проваливаться (на экзамене); упасть
	おっかない	okkanai	frightening, huge	страшный; огромный
仰っしゃる	おっしゃる	ossharu	to say, to speak, to tell, to talk	сказать; говорить; говорить; говорить
乙	おつ	otsu	1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the	2-й по рангу; второй знак
お使い	おつかい	otsukai	errand	поручение
お手上げ	おてあげ	oteage	all over, given in, given up hope, bring to knees	сдаюсь!; всё кончено!
御手洗い	おてあらい	otearai	toilet, restroom, lavatory, bathroom (US)	туалет; санузел
弟	おと	oto	younger brother	младший брат
落とす	おとす	otosu	to drop, to lose, to let fall	падать; терять
訪れる	おとずれる	otozureru	to visit	посетить
大人しい	おとなしい	otonashii	obedient, docile, quiet	послушный; тихий
少女	おとめ	otome	daughter, young lady, virgin, maiden, little girl	дочь; юная леди; дева; дева; девочка
お供	おとも	otomo	attendant, companion	сопровождающий; спутник
衰える	おとろえる	otoroeru	to become weak, to decline, to wear, to abate, to decay, to wither, to waste away	становятся слабыми; снижаться; распадаться; чахнуть
	おどおど	odoodo	coweringly, hesitantly	нерешительно
脅かす/脅す	おどかす/おどす	odokasu/ odosu	to threaten, to menace	угрожать; принуждать
驚き	おどろき	odoroki	surprise, astonishment, wonder	удивление; изумление
同い年	おないどし	onaidoshi	of the same age	того же возраста
女子	おなご	onago	woman, girl	женщина; девушка
お願いします	おねがいします	onegaishimasu	please	пожалуйста
各	おのおの	onoono	each, every, either, respectively, severally	каждый; каждый; соответственно; по отдельности
自ずから	おのずから	onozukara	naturally, as a matter of course	естественно; как само собой разумеющееся
お祖母さん	おばあさん	obaasan	grandmother, female senior-citizen	бабушка; пожилая женщина
怯える	おびえる	obieru	to become frightened, to have a nightmare	испугаться; бояться
夥しい	おびただしい	obitadashii	abundantly, innumerably	обильно; неисчислимо
帯びる	おびる	obiru	to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with	носить с собой; быть облечённым; иметь (оттенок,привкус)
覚え	おぼえ	oboe	memory, sense, experience	память; чувство; опыт
御負け	おまけ	omake	1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration	скидка; приз; бонус; преувеличение
お宮	おみや	omiya	Shinto shrine	синтоистский храм
お襁褓	おむつ	omutsu	diaper, nappy	пеленки; подгузники
お目出度う	おめでとう	omedetou	(ateji) (int) (uk) Congratulations!, an auspicious occasion!	поздравляем!
面	おも	omo	face	лицо
思い付き	おもいつき	omoitsuki	plan, idea, suggestion	план; идея; предложение
面白い	おもしろい	omoshiroi	interesting, amusing	интересный; занимательный
玩具	おもちゃ	omocha	toy	игрушка
重なる	おもなる	omonaru	main, principal, important	основной; главный; важный
趣	おもむき	omomuki	meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement	значение; суть; эффект; внешний вид; вкус; изящество; очарование; изысканность
赴く	おもむく	omomuku	to go, to proceed, to repair to, to become	направляться; следовать куда-л.; становиться; делаться
重役	おもやく	omoyaku	heavy responsibilities, director	директор
重んずる/重んずる	おもんずる/重んじる	omonzuru/ omonjiru	to respect, to honor, to esteem, to prize	уважать; чтить; ценить
