嗚呼	ああ	aa	Ах!; О!; Увы !
貨幣	かへい	kahei	деньги; валюта; монеты
構え	かまえ	kamae	поза; стиль
構える	かまえる	kamaeru	устраивать; принимать положение
加味	かみ	kami	приправы; ароматизаторы
噛み切る	かみきる	kamikiru	откусить; перегрызть
過密	かみつ	kamitsu	переполненный
瓶	かめ	kame	глиняный горшок
かも知れない	かもしれない	kamoshirenai	может; возможно 
粥	かゆ	kayu	рисовая каша
痒い	かゆい	kayui	зуд 
揶揄う	からかう	karakau	дразнить; подтрунивать ; высмеивать
身体	からだ	karada	тело
体付き	からだつき	karadatsuki	телосложение; фигура
絡む	からむ	karamu	запутать; чтобы обвить
借り	かり	kari	заимствования; долг; кредит
下吏	かり	kari	ниже официального
加留多	かるた	karuta	игральные карты
涸れる	かれる	kareru	высохнуть; выбежать
過労	かろう	karou	переутомление; напряжение
辛うじて	かろうじて	karoujite	еле-еле; с большим трудом
側	かわ	kawa	сторона; часть 
可愛い	かわいい	kawaii	красивый; милый; прекрасный; обаятельный
可愛がる	かわいがる	kawaigaru	любить; быть ласковым
可哀想	かわいそう	kawaisou	жалеть
可愛らしい	かわいらしい	kawairashii	прекрасный; милый
交わす	かわす	kawasu	обмениваться (словами,приветствиями)
代わる	かわる	kawaru	заменять,замещать; сменять,приходить на смену
代わる代わる	かわるがわる	kawarugawaru	попеременно
乾	かん	kan	небо
管	かん	kan	труба; трубка
幹	かん	kan	ствол дерева
冠	かん	kan	корона; диадема; во-первых; лучше; несравненный 
観	かん	kan	смотреть; внешний вид; зрелище
館	かん	kan	дом; зал; здание; отель; гостиница; 
簡易	かんい	kani	простота; легкость
感慨	かんがい	kangai	сильные чувства; глубокие эмоции
寒気	かんき	kanki	холод; мороз
簡潔	かんけつ	kanketsu	краткость; лаконичность; простота
還元	かんげん	kangen	разрешение; восстановление; возвращение к истокам
刊行	かんこう	kankou	публикация; вопрос
慣行	かんこう	kankou	обычная практика; привычка 
勧告	かんこく	kankoku	совет; адвокат; протест; рекомендация
看護	かんご	kango	уход за больными; медсестра
漢語	かんご	kango	канго; китаизм
換算	かんさん	kansan	преобразование; изменение; обмен
監視	かんし	kanshi	наблюдение; охрана; контроль; надзор
慣習	かんしゅう	kanshuu	обычай; обыкновение
観衆	かんしゅう	kanshuu	зрители; члены аудитории
干渉	かんしょう	kanshou	вмешательство 
感触	かんしょく	kanshoku	чувство осязания; чувства; ощущения
肝心	かんじん	kanjin	важно; фундаментальное; решающее значение; жизненно важное значение
歓声	かんせい	kansei	радостные возгласы (крики); радостный голос
感染	かんせん	kansen	инфекция 
幹線	かんせん	kansen	магистраль
関税	かんぜい	kanzei	обычаи; долг; тариф
簡素	かんそ	kanso	простота; равнина
観点	かんてん	kanten	точка зрения
感度	かんど	kando	чувствительность; степень тяжести (землетрясения)
